day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Monday,0,52.000000,1.615385,0.000000,9.000000,2.097186,0.290827,4.398190,1.298258,1.662035,2.562293,0.000000,1.000000,2.000000,6.000000,7.980000
0,Monday,1,52.000000,0.865385,0.000000,5.000000,1.314010,0.182220,1.726621,1.518411,1.983569,3.786352,0.000000,0.000000,1.000000,3.900000,5.000000
0,Monday,2,52.000000,0.807692,0.000000,6.000000,1.428539,0.198103,2.040724,1.768667,2.073413,3.863691,0.000000,0.000000,1.000000,4.000000,5.490000
0,Monday,3,52.000000,0.307692,0.000000,7.000000,1.020159,0.141471,1.040724,3.315516,5.790744,37.713307,0.000000,0.000000,0.000000,1.000000,3.940000
0,Monday,4,52.000000,1.153846,0.000000,4.000000,0.957624,0.132799,0.917044,0.829941,0.655405,0.276129,0.000000,1.000000,2.000000,3.000000,3.490000
0,Monday,5,52.000000,3.134615,0.000000,8.000000,1.990456,0.276027,3.961916,0.634992,0.442888,-0.513943,2.000000,3.000000,5.000000,6.450000,7.490000
0,Monday,6,52.000000,5.711538,0.000000,12.000000,3.044355,0.422176,9.268100,0.533018,0.194626,-0.907931,3.000000,6.000000,8.000000,11.000000,11.490000
0,Monday,7,52.000000,22.134615,2.000000,39.000000,8.448295,1.171568,71.373680,0.381678,-0.298252,-0.600629,15.750000,23.000000,28.000000,33.450000,36.960000
0,Monday,8,52.000000,38.730769,4.000000,68.000000,14.857645,2.060385,220.749623,0.383613,-0.242505,-0.715060,28.000000,40.000000,50.250000,59.450000,64.940000
0,Monday,9,52.000000,32.307692,10.000000,58.000000,12.114711,1.680008,146.766214,0.374979,-0.007923,-0.892759,21.750000,34.000000,43.000000,49.000000,56.470000
0,Monday,10,52.000000,20.365385,3.000000,40.000000,9.675173,1.341705,93.608974,0.475079,0.109637,-0.866561,12.750000,21.500000,28.000000,36.450000,38.980000
0,Monday,11,52.000000,21.403846,3.000000,61.000000,12.715992,1.763391,161.696456,0.594098,0.951910,0.733071,11.750000,18.500000,27.250000,42.450000,55.900000
0,Monday,12,52.000000,21.826923,0.000000,54.000000,11.610883,1.610140,134.812594,0.531952,0.355385,-0.161112,11.750000,22.000000,31.000000,39.800000,48.900000
0,Monday,13,52.000000,22.384615,4.000000,68.000000,13.797064,1.913309,190.358974,0.616364,0.731019,0.751166,10.750000,23.000000,32.250000,44.900000,56.780000
0,Monday,14,52.000000,20.019231,3.000000,67.000000,14.716258,2.040778,216.568250,0.735106,1.165108,1.471281,8.000000,18.000000,27.250000,45.800000,63.940000
0,Monday,15,52.000000,23.211538,1.000000,81.000000,15.525231,2.152962,241.032805,0.668858,1.460404,2.853745,12.000000,19.000000,31.250000,53.800000,69.780000
0,Monday,16,52.000000,31.096154,8.000000,63.000000,15.062301,2.088765,226.872926,0.484378,0.493839,-0.594166,20.000000,28.500000,42.250000,59.450000,61.470000
0,Monday,17,52.000000,43.596154,15.000000,94.000000,18.051408,2.503280,325.853318,0.414060,0.569335,-0.063838,28.500000,43.000000,55.250000,75.800000,85.840000
0,Monday,18,52.000000,31.730769,7.000000,85.000000,17.596920,2.440254,309.651584,0.554570,0.932554,0.591007,18.500000,28.500000,40.250000,61.800000,77.860000
0,Monday,19,52.000000,19.461538,2.000000,53.000000,12.676150,1.757866,160.684766,0.651344,0.726358,-0.202588,9.000000,17.000000,28.500000,40.900000,50.960000
0,Monday,20,52.000000,12.942308,0.000000,51.000000,10.108070,1.401737,102.173077,0.781010,1.387503,2.470448,6.000000,9.000000,20.000000,29.800000,41.310000
0,Monday,21,52.000000,8.961538,0.000000,28.000000,6.808189,0.944126,46.351433,0.759712,1.176396,0.944847,4.000000,7.000000,11.250000,22.450000,28.000000
0,Monday,22,52.000000,5.442308,0.000000,27.000000,4.650167,0.644862,21.624057,0.854448,2.256122,8.053027,2.750000,4.500000,7.000000,12.450000,20.880000
0,Monday,23,52.000000,3.961538,0.000000,17.000000,3.441167,0.477204,11.841629,0.868644,1.511151,3.128244,1.000000,3.000000,5.250000,10.450000,14.450000
1,Tuesday,0,52.000000,1.961538,0.000000,8.000000,1.836039,0.254613,3.371041,0.936020,1.086728,1.204020,0.750000,2.000000,3.000000,5.450000,6.980000
1,Tuesday,1,52.000000,1.480769,0.000000,9.000000,2.033932,0.282056,4.136878,1.373564,1.824754,3.377465,0.000000,1.000000,2.000000,5.450000,7.980000
1,Tuesday,2,52.000000,0.326923,0.000000,3.000000,0.677977,0.094019,0.459653,2.073813,2.629982,7.757326,0.000000,0.000000,0.250000,1.000000,3.000000
1,Tuesday,3,52.000000,0.288462,0.000000,3.000000,0.571772,0.079290,0.326923,1.982142,2.544388,8.661778,0.000000,0.000000,0.250000,1.000000,1.980000
1,Tuesday,4,52.000000,1.230769,0.000000,4.000000,0.982502,0.136248,0.965309,0.798282,0.672518,0.111236,1.000000,1.000000,2.000000,3.000000,3.490000
1,Tuesday,5,52.000000,3.346154,0.000000,10.000000,2.186273,0.303181,4.779789,0.653369,0.871695,1.155234,2.000000,3.000000,4.250000,7.450000,9.490000
1,Tuesday,6,52.000000,7.326923,2.000000,14.000000,2.955362,0.409835,8.734163,0.403356,0.268845,-0.334104,5.000000,7.000000,9.000000,12.450000,14.000000
