usertype,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
Member,0,Monday,0,52.000000,0.807692,0.000000,5.000000,1.048593,0.145414,1.099548,1.298258,1.675300,3.790591,0.000000,0.500000,1.000000,2.450000,3.980000
Member,0,Monday,1,52.000000,0.384615,0.000000,3.000000,0.690378,0.095738,0.476621,1.794982,1.920798,3.573287,0.000000,0.000000,1.000000,2.000000,2.490000
Member,0,Monday,2,52.000000,0.230769,0.000000,4.000000,0.730710,0.101331,0.533937,3.166409,3.998899,17.126467,0.000000,0.000000,0.000000,1.000000,3.490000
Member,0,Monday,3,52.000000,0.115385,0.000000,1.000000,0.322603,0.044737,0.104072,2.795889,2.479832,4.314108,0.000000,0.000000,0.000000,1.000000,1.000000
Member,0,Monday,4,52.000000,0.961538,0.000000,4.000000,0.906654,0.125730,0.822021,0.942920,0.898556,1.080765,0.000000,1.000000,1.250000,2.000000,3.490000
Member,0,Monday,5,52.000000,2.826923,0.000000,6.000000,1.790182,0.248254,3.204751,0.633262,0.249287,-0.908155,2.000000,2.000000,4.000000,6.000000,6.000000
Member,0,Monday,6,52.000000,5.096154,0.000000,10.000000,2.658760,0.368704,7.069005,0.521719,0.263607,-0.962236,3.000000,4.500000,7.250000,9.450000,10.000000
Member,0,Monday,7,52.000000,20.461538,2.000000,34.000000,7.453020,1.033548,55.547511,0.364245,-0.542496,-0.153501,14.750000,22.000000,26.000000,31.000000,32.980000
Member,0,Monday,8,52.000000,35.576923,4.000000,63.000000,13.339233,1.849819,177.935143,0.374941,-0.442362,-0.386210,27.000000,38.500000,47.000000,52.000000,57.900000
Member,0,Monday,9,52.000000,27.230769,2.000000,44.000000,9.597008,1.330866,92.102564,0.352433,-0.521866,-0.312995,19.750000,29.000000,34.000000,39.450000,42.980000
Member,0,Monday,10,52.000000,12.865385,3.000000,24.000000,4.990300,0.692030,24.903092,0.387886,0.072205,-0.760220,9.000000,12.500000,16.500000,20.450000,22.470000
Member,0,Monday,11,52.000000,12.096154,3.000000,26.000000,4.855802,0.673379,23.578808,0.401434,0.430675,0.204410,9.000000,11.500000,15.000000,20.450000,23.450000
Member,0,Monday,12,52.000000,11.923077,0.000000,26.000000,5.837157,0.809468,34.072398,0.489568,0.267099,-0.252359,7.000000,11.500000,15.000000,21.000000,24.980000
Member,0,Monday,13,52.000000,10.942308,2.000000,23.000000,5.255859,0.728857,27.624057,0.480325,0.309397,-0.760224,7.000000,10.500000,14.000000,19.900000,21.980000
Member,0,Monday,14,52.000000,8.442308,3.000000,18.000000,4.202770,0.582819,17.663273,0.497822,0.668938,-0.400059,6.000000,8.000000,10.250000,16.450000,17.490000
Member,0,Monday,15,52.000000,10.769231,1.000000,25.000000,4.755246,0.659434,22.612368,0.441559,0.400728,0.367780,7.000000,11.000000,14.250000,17.900000,21.940000
Member,0,Monday,16,52.000000,19.134615,3.000000,37.000000,6.970607,0.966649,48.589367,0.364293,-0.082236,-0.105993,14.750000,19.000000,24.000000,29.000000,33.430000
Member,0,Monday,17,52.000000,32.750000,10.000000,53.000000,10.601286,1.470134,112.387255,0.323703,-0.246006,-0.737822,23.000000,35.500000,40.250000,49.450000,51.470000
Member,0,Monday,18,52.000000,22.826923,4.000000,41.000000,9.164555,1.270895,83.989065,0.401480,-0.112347,-0.743747,16.000000,23.000000,30.250000,34.900000,41.000000
Member,0,Monday,19,52.000000,12.769231,2.000000,26.000000,6.137686,0.851144,37.671192,0.480662,0.339089,-0.334273,9.000000,12.000000,16.000000,23.900000,26.000000
Member,0,Monday,20,52.000000,8.384615,0.000000,19.000000,4.593917,0.637062,21.104072,0.547898,0.449099,-0.621829,5.000000,7.000000,12.000000,16.450000,17.980000
Member,0,Monday,21,52.000000,5.500000,0.000000,13.000000,3.177741,0.440673,10.098039,0.577771,0.371761,-0.472798,3.000000,5.000000,7.250000,11.000000,12.490000
Member,0,Monday,22,52.000000,3.230769,0.000000,9.000000,2.237080,0.310227,5.004525,0.692429,0.966579,0.533728,2.000000,3.000000,4.000000,8.000000,9.000000
Member,0,Monday,23,52.000000,2.365385,0.000000,10.000000,1.836758,0.254713,3.373680,0.776516,1.506751,4.595966,1.000000,2.000000,3.000000,5.000000,7.960000
Member,1,Tuesday,0,52.000000,1.288462,0.000000,3.000000,1.054152,0.146185,1.111237,0.818148,0.221220,-1.154304,0.000000,1.000000,2.000000,3.000000,3.000000
Member,1,Tuesday,1,52.000000,0.673077,0.000000,4.000000,0.922936,0.127988,0.851810,1.371218,1.489502,2.275967,0.000000,0.000000,1.000000,2.000000,3.490000
Member,1,Tuesday,2,52.000000,0.173077,0.000000,2.000000,0.430283,0.059669,0.185143,2.486078,2.515657,6.114806,0.000000,0.000000,0.000000,1.000000,1.490000
Member,1,Tuesday,3,52.000000,0.192308,0.000000,1.000000,0.397959,0.055187,0.158371,2.069385,1.608208,0.608233,0.000000,0.000000,0.000000,1.000000,1.000000
Member,1,Tuesday,4,52.000000,1.115385,0.000000,3.000000,0.899975,0.124804,0.809955,0.806874,0.604859,-0.202238,0.750000,1.000000,2.000000,3.000000,3.000000
Member,1,Tuesday,5,52.000000,2.942308,0.000000,8.000000,1.934349,0.268246,3.741704,0.657426,0.439631,-0.016362,1.750000,3.000000,4.000000,6.450000,7.490000
Member,1,Tuesday,6,52.000000,6.750000,2.000000,13.000000,2.588625,0.358978,6.700980,0.383500,0.258777,-0.341405,5.000000,6.000000,8.250000,11.000000,12.490000
Member,1,Tuesday,7,52.000000,24.615385,6.000000,42.000000,8.643605,1.198652,74.711916,0.351146,0.008699,-0.640367,18.750000,24.000000,31.000000,39.000000,40.980000
Member,1,Tuesday,8,52.000000,42.365385,20.000000,58.000000,9.671119,1.341143,93.530543,0.228279,-0.308364,-0.839224,34.750000,43.000000,50.250000,55.000000,57.490000
Member,1,Tuesday,9,52.000000,30.519231,15.000000,54.000000,8.716652,1.208782,75.980015,0.285612,0.749550,0.169293,23.750000,30.000000,36.000000,48.450000,51.450000
Member,1,Tuesday,10,52.000000,16.211538,4.000000,29.000000,5.723486,0.793705,32.758296,0.353050,0.125325,-0.141782,13.000000,16.000000,20.250000,25.800000,28.490000
Member,1,Tuesday,11,52.000000,14.346154,3.000000,26.000000,4.966099,0.688674,24.662142,0.346162,0.053896,-0.186740,11.000000,14.500000,17.000000,21.450000,25.490000
Member,1,Tuesday,12,52.000000,13.461538,3.000000,27.000000,5.788635,0.802739,33.508296,0.430013,0.161345,-0.580993,9.000000,13.000000,18.000000,22.000000,25.980000
Member,1,Tuesday,13,52.000000,10.634615,2.000000,22.000000,4.723860,0.655082,22.314857,0.444197,0.169661,-0.419195,7.750000,11.000000,13.000000,18.000000,20.980000
Member,1,Tuesday,14,52.000000,9.653846,2.000000,17.000000,3.746290,0.519517,14.034691,0.388062,0.026162,-0.745985,7.000000,10.000000,12.250000,15.450000,16.490000
Member,1,Tuesday,15,52.000000,11.730769,2.000000,22.000000,4.632009,0.642344,21.455505,0.394860,-0.055234,-0.374629,9.000000,12.000000,15.000000,18.450000,21.490000
Member,1,Tuesday,16,52.000000,22.057692,12.000000,35.000000,5.802006,0.804593,33.663273,0.263038,0.162859,-0.803162,18.750000,21.000000,27.000000,31.000000,33.470000
Member,1,Tuesday,17,52.000000,36.134615,15.000000,71.000000,12.008214,1.665240,144.197210,0.332319,0.255168,0.024165,28.000000,35.500000,46.000000,53.900000,63.350000
Member,1,Tuesday,18,52.000000,23.403846,4.000000,42.000000,8.767721,1.215864,76.872926,0.374627,-0.314544,-0.456086,17.500000,25.000000,29.500000,35.800000,39.960000
Member,1,Tuesday,19,52.000000,14.115385,2.000000,31.000000,6.952652,0.964159,48.339367,0.492558,0.371608,-0.629990,8.750000,13.000000,20.000000,25.350000,29.470000
Member,1,Tuesday,20,52.000000,8.538462,0.000000,24.000000,5.560581,0.771114,30.920060,0.651239,0.601866,0.155533,4.000000,8.000000,12.000000,16.900000,22.980000
Member,1,Tuesday,21,52.000000,7.019231,1.000000,20.000000,4.376812,0.606955,19.156486,0.623546,0.697207,0.124147,4.000000,6.000000,10.000000,14.000000,17.960000
Member,1,Tuesday,22,52.000000,3.653846,0.000000,10.000000,2.186273,0.303181,4.779789,0.598348,0.392824,0.445858,2.750000,3.000000,5.000000,7.000000,8.980000
Member,1,Tuesday,23,52.000000,2.596154,0.000000,7.000000,1.717952,0.238237,2.951357,0.661729,0.614484,0.200999,1.000000,2.500000,3.250000,5.450000,7.000000
Member,2,Wednesday,0,52.000000,1.423077,0.000000,5.000000,1.333522,0.184926,1.778281,0.937069,1.022909,0.439500,0.750000,1.000000,2.000000,4.000000,5.000000
Member,2,Wednesday,1,52.000000,0.615385,0.000000,3.000000,0.843751,0.117007,0.711916,1.371095,1.454763,1.713793,0.000000,0.000000,1.000000,2.450000,3.000000
Member,2,Wednesday,2,52.000000,0.192308,0.000000,2.000000,0.444507,0.061642,0.197587,2.311438,2.279220,4.804759,0.000000,0.000000,0.000000,1.000000,1.490000
Member,2,Wednesday,3,52.000000,0.076923,0.000000,1.000000,0.269069,0.037313,0.072398,3.497899,3.270535,9.042959,0.000000,0.000000,0.000000,1.000000,1.000000
Member,2,Wednesday,4,52.000000,1.173077,0.000000,4.000000,0.856833,0.118821,0.734163,0.730415,0.819803,1.345826,1.000000,1.000000,2.000000,2.450000,3.490000
Member,2,Wednesday,5,52.000000,2.884615,0.000000,8.000000,1.832750,0.254157,3.358974,0.635354,0.733312,0.327084,2.000000,3.000000,4.000000,6.000000,7.490000
Member,2,Wednesday,6,52.000000,6.211538,2.000000,14.000000,2.732065,0.378869,7.464178,0.439837,0.866907,0.973231,4.000000,6.000000,7.000000,10.450000,14.000000
Member,2,Wednesday,7,52.000000,22.769231,6.000000,38.000000,7.036642,0.975807,49.514329,0.309042,-0.101320,-0.298024,18.000000,23.000000,28.000000,33.000000,36.470000
Member,2,Wednesday,8,52.000000,40.057692,12.000000,63.000000,11.525613,1.598315,132.839744,0.287725,-0.053936,-0.478724,33.000000,38.500000,50.250000,56.450000,63.000000
Member,2,Wednesday,9,52.000000,30.230769,14.000000,44.000000,7.440260,1.031778,55.357466,0.246115,-0.316333,-0.560683,26.750000,31.000000,36.250000,40.450000,43.490000
Member,2,Wednesday,10,52.000000,16.076923,7.000000,24.000000,4.310708,0.597788,18.582202,0.268130,-0.080630,-0.744786,13.000000,16.000000,19.250000,23.000000,23.490000
Member,2,Wednesday,11,52.000000,14.500000,3.000000,27.000000,5.775201,0.800876,33.352941,0.398290,0.250270,-0.495786,11.000000,14.000000,18.000000,24.350000,26.490000
Member,2,Wednesday,12,52.000000,14.211538,3.000000,27.000000,5.180418,0.718395,26.836727,0.364522,0.548276,0.400513,10.750000,13.000000,17.000000,23.450000,27.000000
Member,2,Wednesday,13,52.000000,11.807692,1.000000,29.000000,5.401664,0.749076,29.177979,0.457470,0.505746,1.149356,8.000000,12.000000,14.250000,20.250000,25.940000
Member,2,Wednesday,14,52.000000,9.557692,2.000000,19.000000,3.738582,0.518448,13.976998,0.391160,0.151169,-0.332270,6.750000,9.000000,13.000000,14.900000,17.470000
Member,2,Wednesday,15,52.000000,12.307692,3.000000,24.000000,4.478876,0.621108,20.060332,0.363909,0.231527,-0.012288,9.000000,12.500000,15.000000,19.450000,22.980000
Member,2,Wednesday,16,52.000000,22.538462,13.000000,35.000000,5.741017,0.796136,32.959276,0.254721,0.103949,-0.502257,19.750000,22.000000,26.250000,32.450000,33.980000
Member,2,Wednesday,17,52.000000,36.711538,6.000000,60.000000,12.125708,1.681533,147.032805,0.330297,-0.360616,0.010162,30.000000,36.000000,45.250000,54.800000,58.980000
Member,2,Wednesday,18,52.000000,24.057692,2.000000,41.000000,8.845988,1.226718,78.251508,0.367699,-0.234842,-0.269984,18.750000,24.000000,29.250000,38.000000,39.980000
Member,2,Wednesday,19,52.000000,15.923077,2.000000,32.000000,7.387977,1.024528,54.582202,0.463979,0.103587,-0.417864,11.000000,15.500000,21.000000,28.350000,31.490000
Member,2,Wednesday,20,52.000000,8.730769,0.000000,21.000000,4.361666,0.604854,19.024133,0.499574,0.111245,0.091179,5.000000,9.000000,12.000000,14.450000,18.960000
Member,2,Wednesday,21,52.000000,8.269231,2.000000,23.000000,5.130132,0.711421,26.318250,0.620388,1.260066,1.408974,4.000000,7.000000,10.000000,18.900000,23.000000
Member,2,Wednesday,22,52.000000,4.230769,0.000000,11.000000,2.639187,0.365989,6.965309,0.623808,0.651644,-0.139711,2.000000,4.000000,5.250000,9.000000,9.980000
Member,2,Wednesday,23,52.000000,2.634615,0.000000,7.000000,1.749273,0.242580,3.059955,0.663957,0.680412,0.061430,1.000000,2.000000,4.000000,6.000000,7.000000
