datetime,arrivals,departures,occupancy,day_of_week,dow_name,bin_of_day,bin_of_week
2015-01-01 00:00:00,3.000000,5.000000,3.350000,3,Thursday,0,72
2015-01-01 01:00:00,4.000000,4.000000,0.483333,3,Thursday,1,73
2015-01-01 02:00:00,6.000000,8.000000,2.600000,3,Thursday,2,74
2015-01-01 03:00:00,2.000000,1.000000,0.783333,3,Thursday,3,75
2015-01-01 04:00:00,1.000000,2.000000,0.683333,3,Thursday,4,76
2015-01-01 05:00:00,0.000000,0.000000,0.000000,3,Thursday,5,77
2015-01-01 06:00:00,0.000000,0.000000,0.000000,3,Thursday,6,78
2015-01-01 07:00:00,0.000000,0.000000,0.000000,3,Thursday,7,79
2015-01-01 08:00:00,4.000000,3.000000,1.416667,3,Thursday,8,80
2015-01-01 09:00:00,0.000000,1.000000,0.450000,3,Thursday,9,81
2015-01-01 10:00:00,3.000000,1.000000,0.416667,3,Thursday,10,82
2015-01-01 11:00:00,7.000000,6.000000,1.650000,3,Thursday,11,83
2015-01-01 12:00:00,14.000000,8.000000,4.883333,3,Thursday,12,84
2015-01-01 13:00:00,32.000000,28.000000,12.250000,3,Thursday,13,85
2015-01-01 14:00:00,16.000000,23.000000,12.566667,3,Thursday,14,86
2015-01-01 15:00:00,19.000000,17.000000,9.866667,3,Thursday,15,87
2015-01-01 16:00:00,17.000000,22.000000,8.750000,3,Thursday,16,88
2015-01-01 17:00:00,5.000000,8.000000,2.216667,3,Thursday,17,89
2015-01-01 18:00:00,4.000000,4.000000,0.516667,3,Thursday,18,90
2015-01-01 19:00:00,6.000000,2.000000,1.950000,3,Thursday,19,91
2015-01-01 20:00:00,13.000000,17.000000,3.033333,3,Thursday,20,92
2015-01-01 21:00:00,6.000000,4.000000,1.550000,3,Thursday,21,93
2015-01-01 22:00:00,2.000000,4.000000,0.266667,3,Thursday,22,94
2015-01-01 23:00:00,0.000000,0.000000,0.000000,3,Thursday,23,95
2015-01-02 00:00:00,0.000000,0.000000,0.000000,4,Friday,0,96
2015-01-02 01:00:00,0.000000,0.000000,0.000000,4,Friday,1,97
2015-01-02 02:00:00,0.000000,0.000000,0.000000,4,Friday,2,98
2015-01-02 03:00:00,1.000000,1.000000,0.066667,4,Friday,3,99
2015-01-02 04:00:00,1.000000,1.000000,0.300000,4,Friday,4,100
2015-01-02 05:00:00,0.000000,0.000000,0.000000,4,Friday,5,101
2015-01-02 06:00:00,0.000000,0.000000,0.000000,4,Friday,6,102
2015-01-02 07:00:00,8.000000,6.000000,1.016667,4,Friday,7,103
2015-01-02 08:00:00,10.000000,10.000000,1.833333,4,Friday,8,104
2015-01-02 09:00:00,6.000000,8.000000,0.916667,4,Friday,9,105
2015-01-02 10:00:00,9.000000,7.000000,1.983333,4,Friday,10,106
2015-01-02 11:00:00,6.000000,8.000000,1.116667,4,Friday,11,107
2015-01-02 12:00:00,14.000000,11.000000,2.433333,4,Friday,12,108
2015-01-02 13:00:00,10.000000,12.000000,2.533333,4,Friday,13,109
2015-01-02 14:00:00,10.000000,10.000000,1.716667,4,Friday,14,110
2015-01-02 15:00:00,5.000000,6.000000,0.850000,4,Friday,15,111
2015-01-02 16:00:00,18.000000,11.000000,3.033333,4,Friday,16,112
2015-01-02 17:00:00,18.000000,25.000000,3.366667,4,Friday,17,113
2015-01-02 18:00:00,5.000000,4.000000,1.216667,4,Friday,18,114
2015-01-02 19:00:00,6.000000,5.000000,0.950000,4,Friday,19,115
2015-01-02 20:00:00,4.000000,4.000000,0.450000,4,Friday,20,116
2015-01-02 21:00:00,1.000000,3.000000,0.500000,4,Friday,21,117
2015-01-02 22:00:00,3.000000,3.000000,0.816667,4,Friday,22,118
2015-01-02 23:00:00,1.000000,1.000000,0.233333,4,Friday,23,119
2015-01-03 00:00:00,0.000000,0.000000,0.000000,5,Saturday,0,120
2015-01-03 01:00:00,7.000000,4.000000,1.050000,5,Saturday,1,121
2015-01-03 02:00:00,2.000000,5.000000,0.700000,5,Saturday,2,122
2015-01-03 03:00:00,0.000000,0.000000,0.000000,5,Saturday,3,123
2015-01-03 04:00:00,0.000000,0.000000,0.000000,5,Saturday,4,124
2015-01-03 05:00:00,0.000000,0.000000,0.000000,5,Saturday,5,125
2015-01-03 06:00:00,0.000000,0.000000,0.000000,5,Saturday,6,126
2015-01-03 07:00:00,1.000000,1.000000,0.116667,5,Saturday,7,127
2015-01-03 08:00:00,4.000000,4.000000,0.716667,5,Saturday,8,128
2015-01-03 09:00:00,6.000000,5.000000,0.566667,5,Saturday,9,129
2015-01-03 10:00:00,11.000000,9.000000,3.283333,5,Saturday,10,130
2015-01-03 11:00:00,11.000000,11.000000,3.600000,5,Saturday,11,131
2015-01-03 12:00:00,12.000000,6.000000,4.650000,5,Saturday,12,132
2015-01-03 13:00:00,10.000000,11.000000,10.533333,5,Saturday,13,133
2015-01-03 14:00:00,20.000000,24.000000,7.366667,5,Saturday,14,134
2015-01-03 15:00:00,25.000000,18.000000,7.283333,5,Saturday,15,135
2015-01-03 16:00:00,13.000000,23.000000,6.900000,5,Saturday,16,136
2015-01-03 17:00:00,8.000000,7.000000,2.850000,5,Saturday,17,137
2015-01-03 18:00:00,7.000000,6.000000,2.800000,5,Saturday,18,138
2015-01-03 19:00:00,4.000000,6.000000,1.450000,5,Saturday,19,139
2015-01-03 20:00:00,3.000000,3.000000,1.183333,5,Saturday,20,140
2015-01-03 21:00:00,2.000000,2.000000,1.300000,5,Saturday,21,141
2015-01-03 22:00:00,2.000000,3.000000,0.800000,5,Saturday,22,142
2015-01-03 23:00:00,3.000000,3.000000,1.200000,5,Saturday,23,143
2015-01-04 00:00:00,1.000000,1.000000,0.116667,6,Sunday,0,144
2015-01-04 01:00:00,0.000000,0.000000,0.000000,6,Sunday,1,145
2015-01-04 02:00:00,0.000000,0.000000,0.000000,6,Sunday,2,146
2015-01-04 03:00:00,0.000000,0.000000,0.000000,6,Sunday,3,147
2015-01-04 04:00:00,1.000000,1.000000,0.066667,6,Sunday,4,148
2015-01-04 05:00:00,1.000000,1.000000,0.066667,6,Sunday,5,149
2015-01-04 06:00:00,0.000000,0.000000,0.000000,6,Sunday,6,150
2015-01-04 07:00:00,1.000000,1.000000,0.066667,6,Sunday,7,151
2015-01-04 08:00:00,2.000000,2.000000,0.150000,6,Sunday,8,152
2015-01-04 09:00:00,4.000000,4.000000,1.033333,6,Sunday,9,153
2015-01-04 10:00:00,3.000000,2.000000,0.416667,6,Sunday,10,154
2015-01-04 11:00:00,5.000000,4.000000,1.100000,6,Sunday,11,155
2015-01-04 12:00:00,4.000000,6.000000,1.000000,6,Sunday,12,156
2015-01-04 13:00:00,9.000000,7.000000,1.283333,6,Sunday,13,157
2015-01-04 14:00:00,5.000000,6.000000,1.250000,6,Sunday,14,158
2015-01-04 15:00:00,4.000000,2.000000,1.600000,6,Sunday,15,159
2015-01-04 16:00:00,1.000000,3.000000,1.683333,6,Sunday,16,160
2015-01-04 17:00:00,2.000000,2.000000,1.166667,6,Sunday,17,161
2015-01-04 18:00:00,3.000000,1.000000,1.366667,6,Sunday,18,162
2015-01-04 19:00:00,2.000000,4.000000,1.900000,6,Sunday,19,163
2015-01-04 20:00:00,0.000000,1.000000,0.050000,6,Sunday,20,164
2015-01-04 21:00:00,1.000000,1.000000,0.216667,6,Sunday,21,165
2015-01-04 22:00:00,1.000000,1.000000,0.233333,6,Sunday,22,166
2015-01-04 23:00:00,1.000000,1.000000,0.116667,6,Sunday,23,167
2015-01-05 00:00:00,0.000000,0.000000,0.000000,0,Monday,0,0
2015-01-05 01:00:00,0.000000,0.000000,0.000000,0,Monday,1,1
2015-01-05 02:00:00,1.000000,1.000000,0.150000,0,Monday,2,2
2015-01-05 03:00:00,0.000000,0.000000,0.000000,0,Monday,3,3
2015-01-05 04:00:00,1.000000,0.000000,0.600000,0,Monday,4,4
2015-01-05 05:00:00,1.000000,2.000000,0.166667,0,Monday,5,5
2015-01-05 06:00:00,2.000000,1.000000,0.183333,0,Monday,6,6
2015-01-05 07:00:00,12.000000,11.000000,1.816667,0,Monday,7,7
2015-01-05 08:00:00,18.000000,16.000000,2.366667,0,Monday,8,8
2015-01-05 09:00:00,20.000000,18.000000,2.766667,0,Monday,9,9
2015-01-05 10:00:00,5.000000,10.000000,1.066667,0,Monday,10,10
2015-01-05 11:00:00,8.000000,6.000000,1.016667,0,Monday,11,11
2015-01-05 12:00:00,12.000000,13.000000,1.800000,0,Monday,12,12
2015-01-05 13:00:00,6.000000,7.000000,0.833333,0,Monday,13,13
2015-01-05 14:00:00,6.000000,6.000000,0.883333,0,Monday,14,14
2015-01-05 15:00:00,10.000000,9.000000,2.216667,0,Monday,15,15
2015-01-05 16:00:00,9.000000,8.000000,2.483333,0,Monday,16,16
2015-01-05 17:00:00,25.000000,24.000000,4.983333,0,Monday,17,17
2015-01-05 18:00:00,16.000000,18.000000,1.983333,0,Monday,18,18
2015-01-05 19:00:00,5.000000,7.000000,0.883333,0,Monday,19,19
2015-01-05 20:00:00,6.000000,4.000000,0.716667,0,Monday,20,20
2015-01-05 21:00:00,5.000000,7.000000,0.950000,0,Monday,21,21
2015-01-05 22:00:00,5.000000,2.000000,1.450000,0,Monday,22,22
2015-01-05 23:00:00,7.000000,8.000000,1.733333,0,Monday,23,23
2015-01-06 00:00:00,5.000000,7.000000,1.166667,1,Tuesday,0,24
2015-01-06 01:00:00,0.000000,0.000000,0.000000,1,Tuesday,1,25
2015-01-06 02:00:00,0.000000,0.000000,0.000000,1,Tuesday,2,26
2015-01-06 03:00:00,0.000000,0.000000,0.000000,1,Tuesday,3,27
2015-01-06 04:00:00,0.000000,0.000000,0.000000,1,Tuesday,4,28
2015-01-06 05:00:00,1.000000,1.000000,0.066667,1,Tuesday,5,29
2015-01-06 06:00:00,4.000000,4.000000,0.433333,1,Tuesday,6,30
2015-01-06 07:00:00,17.000000,15.000000,2.800000,1,Tuesday,7,31
2015-01-06 08:00:00,35.000000,34.000000,5.316667,1,Tuesday,8,32
2015-01-06 09:00:00,22.000000,21.000000,3.250000,1,Tuesday,9,33
2015-01-06 10:00:00,14.000000,16.000000,2.516667,1,Tuesday,10,34
2015-01-06 11:00:00,9.000000,10.000000,1.916667,1,Tuesday,11,35
2015-01-06 12:00:00,24.000000,20.000000,4.216667,1,Tuesday,12,36
2015-01-06 13:00:00,6.000000,10.000000,3.200000,1,Tuesday,13,37
2015-01-06 14:00:00,20.000000,13.000000,4.150000,1,Tuesday,14,38
2015-01-06 15:00:00,18.000000,23.000000,5.300000,1,Tuesday,15,39
2015-01-06 16:00:00,31.000000,23.000000,6.516667,1,Tuesday,16,40
2015-01-06 17:00:00,31.000000,39.000000,6.566667,1,Tuesday,17,41
2015-01-06 18:00:00,20.000000,20.000000,4.416667,1,Tuesday,18,42
2015-01-06 19:00:00,10.000000,9.000000,3.233333,1,Tuesday,19,43
2015-01-06 20:00:00,7.000000,11.000000,1.933333,1,Tuesday,20,44
2015-01-06 21:00:00,6.000000,6.000000,0.850000,1,Tuesday,21,45
2015-01-06 22:00:00,4.000000,3.000000,0.300000,1,Tuesday,22,46
2015-01-06 23:00:00,3.000000,2.000000,0.800000,1,Tuesday,23,47
2015-01-07 00:00:00,2.000000,4.000000,0.800000,2,Wednesday,0,48
2015-01-07 01:00:00,1.000000,1.000000,0.166667,2,Wednesday,1,49
2015-01-07 02:00:00,0.000000,0.000000,0.000000,2,Wednesday,2,50
2015-01-07 03:00:00,0.000000,0.000000,0.000000,2,Wednesday,3,51
2015-01-07 04:00:00,0.000000,0.000000,0.000000,2,Wednesday,4,52
2015-01-07 05:00:00,1.000000,1.000000,0.083333,2,Wednesday,5,53
2015-01-07 06:00:00,6.000000,6.000000,0.533333,2,Wednesday,6,54
2015-01-07 07:00:00,20.000000,18.000000,2.916667,2,Wednesday,7,55
2015-01-07 08:00:00,26.000000,26.000000,4.766667,2,Wednesday,8,56
2015-01-07 09:00:00,25.000000,26.000000,3.683333,2,Wednesday,9,57
2015-01-07 10:00:00,16.000000,15.000000,3.683333,2,Wednesday,10,58
2015-01-07 11:00:00,27.000000,25.000000,4.366667,2,Wednesday,11,59
2015-01-07 12:00:00,17.000000,19.000000,4.550000,2,Wednesday,12,60
2015-01-07 13:00:00,11.000000,11.000000,1.950000,2,Wednesday,13,61
2015-01-07 14:00:00,12.000000,13.000000,2.266667,2,Wednesday,14,62
2015-01-07 15:00:00,21.000000,16.000000,4.316667,2,Wednesday,15,63
2015-01-07 16:00:00,27.000000,25.000000,5.966667,2,Wednesday,16,64
2015-01-07 17:00:00,46.000000,47.000000,8.733333,2,Wednesday,17,65
2015-01-07 18:00:00,28.000000,31.000000,4.516667,2,Wednesday,18,66
2015-01-07 19:00:00,13.000000,17.000000,2.300000,2,Wednesday,19,67
2015-01-07 20:00:00,5.000000,4.000000,0.883333,2,Wednesday,20,68
2015-01-07 21:00:00,6.000000,7.000000,0.983333,2,Wednesday,21,69
2015-01-07 22:00:00,2.000000,0.000000,0.233333,2,Wednesday,22,70
2015-01-07 23:00:00,3.000000,5.000000,0.600000,2,Wednesday,23,71
2015-01-08 00:00:00,1.000000,1.000000,0.083333,3,Thursday,0,72
2015-01-08 01:00:00,1.000000,1.000000,0.133333,3,Thursday,1,73
2015-01-08 02:00:00,1.000000,0.000000,0.233333,3,Thursday,2,74
2015-01-08 03:00:00,0.000000,1.000000,0.466667,3,Thursday,3,75
2015-01-08 04:00:00,1.000000,1.000000,0.216667,3,Thursday,4,76
2015-01-08 05:00:00,1.000000,1.000000,0.100000,3,Thursday,5,77
2015-01-08 06:00:00,2.000000,1.000000,0.216667,3,Thursday,6,78
2015-01-08 07:00:00,15.000000,15.000000,2.466667,3,Thursday,7,79
2015-01-08 08:00:00,41.000000,40.000000,5.900000,3,Thursday,8,80
2015-01-08 09:00:00,31.000000,30.000000,4.666667,3,Thursday,9,81
2015-01-08 10:00:00,16.000000,18.000000,2.616667,3,Thursday,10,82
2015-01-08 11:00:00,21.000000,12.000000,3.200000,3,Thursday,11,83
2015-01-08 12:00:00,25.000000,21.000000,10.066667,3,Thursday,12,84
2015-01-08 13:00:00,16.000000,25.000000,8.383333,3,Thursday,13,85
2015-01-08 14:00:00,15.000000,10.000000,7.100000,3,Thursday,14,86
2015-01-08 15:00:00,22.000000,24.000000,9.783333,3,Thursday,15,87
2015-01-08 16:00:00,36.000000,36.000000,7.600000,3,Thursday,16,88
2015-01-08 17:00:00,19.000000,27.000000,3.983333,3,Thursday,17,89
2015-01-08 18:00:00,23.000000,18.000000,3.516667,3,Thursday,18,90
2015-01-08 19:00:00,23.000000,25.000000,3.766667,3,Thursday,19,91
2015-01-08 20:00:00,10.000000,12.000000,2.500000,3,Thursday,20,92
2015-01-08 21:00:00,10.000000,11.000000,2.733333,3,Thursday,21,93
2015-01-08 22:00:00,3.000000,3.000000,0.183333,3,Thursday,22,94
2015-01-08 23:00:00,0.000000,0.000000,0.000000,3,Thursday,23,95
2015-01-09 00:00:00,1.000000,1.000000,0.266667,4,Friday,0,96
2015-01-09 01:00:00,1.000000,1.000000,0.100000,4,Friday,1,97
2015-01-09 02:00:00,1.000000,1.000000,0.083333,4,Friday,2,98
2015-01-09 03:00:00,0.000000,0.000000,0.000000,4,Friday,3,99
2015-01-09 04:00:00,1.000000,1.000000,0.216667,4,Friday,4,100
2015-01-09 05:00:00,0.000000,0.000000,0.000000,4,Friday,5,101
2015-01-09 06:00:00,6.000000,4.000000,0.616667,4,Friday,6,102
2015-01-09 07:00:00,12.000000,12.000000,2.200000,4,Friday,7,103
2015-01-09 08:00:00,38.000000,38.000000,4.616667,4,Friday,8,104
2015-01-09 09:00:00,24.000000,25.000000,4.033333,4,Friday,9,105
2015-01-09 10:00:00,13.000000,14.000000,1.683333,4,Friday,10,106
