day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Monday,0,52.000000,2.019231,0.000000,12.000000,2.372145,0.328957,5.627074,1.174777,1.901141,5.022778,0.000000,1.000000,3.000000,6.000000,9.450000
0,Monday,1,52.000000,0.903846,0.000000,4.000000,1.272016,0.176397,1.618024,1.407337,1.197379,0.192697,0.000000,0.000000,2.000000,3.450000,4.000000
0,Monday,2,52.000000,0.769231,0.000000,4.000000,1.077677,0.149447,1.161388,1.400980,1.460573,1.617486,0.000000,0.000000,1.000000,3.000000,4.000000
0,Monday,3,52.000000,0.461538,0.000000,7.000000,1.290410,0.178948,1.665158,2.795889,3.732551,15.166968,0.000000,0.000000,0.000000,2.450000,5.980000
0,Monday,4,52.000000,1.211538,0.000000,6.000000,1.273201,0.176561,1.621041,1.050896,2.075290,6.123507,0.000000,1.000000,2.000000,3.000000,6.000000
0,Monday,5,52.000000,2.500000,0.000000,7.000000,1.565561,0.217104,2.450980,0.626224,0.701499,0.234342,1.000000,2.000000,3.250000,5.000000,6.490000
0,Monday,6,52.000000,5.596154,0.000000,13.000000,2.905435,0.402911,8.441554,0.519184,0.109763,-0.565810,3.750000,5.000000,8.000000,9.450000,11.470000
0,Monday,7,52.000000,17.846154,1.000000,36.000000,6.852464,0.950266,46.956259,0.383974,-0.207653,0.249811,14.000000,18.000000,23.000000,26.450000,31.410000
0,Monday,8,52.000000,36.711538,6.000000,62.000000,14.011671,1.943069,196.326923,0.381669,-0.316423,-0.662789,25.750000,38.500000,46.250000,57.350000,61.490000
0,Monday,9,52.000000,33.826923,4.000000,55.000000,12.856251,1.782841,165.283183,0.380060,-0.320316,-0.813836,25.250000,35.000000,44.250000,51.450000,54.490000
0,Monday,10,52.000000,20.365385,4.000000,52.000000,9.612143,1.332964,92.393288,0.471984,0.784859,1.084435,13.750000,19.000000,26.000000,34.900000,46.390000
0,Monday,11,52.000000,20.019231,3.000000,51.000000,10.883501,1.509270,118.450603,0.543652,0.713345,0.092374,12.000000,18.000000,25.250000,38.000000,45.900000
0,Monday,12,52.000000,20.961538,1.000000,48.000000,11.509521,1.596083,132.469080,0.549078,0.508107,-0.099179,12.500000,21.500000,26.500000,42.250000,48.000000
0,Monday,13,52.000000,21.826923,4.000000,61.000000,12.688919,1.759637,161.008673,0.581343,0.563855,0.045449,11.000000,20.500000,33.000000,39.250000,51.820000
0,Monday,14,52.000000,19.903846,2.000000,64.000000,13.921713,1.930594,193.814103,0.699448,0.901944,0.571595,8.000000,17.500000,30.000000,41.450000,56.860000
0,Monday,15,52.000000,21.423077,0.000000,78.000000,15.261571,2.116399,232.915535,0.712389,1.493236,2.792108,9.750000,16.500000,28.000000,50.150000,66.780000
0,Monday,16,52.000000,30.500000,6.000000,71.000000,15.998162,2.218546,255.941176,0.524530,0.548477,-0.445251,18.000000,27.000000,43.000000,57.050000,67.430000
0,Monday,17,52.000000,44.692308,17.000000,97.000000,18.101607,2.510241,327.668175,0.405027,0.714451,0.317419,32.000000,42.000000,54.750000,80.450000,89.860000
0,Monday,18,52.000000,33.788462,6.000000,78.000000,17.388678,2.411376,302.366139,0.514634,0.600188,-0.146675,19.750000,30.000000,44.000000,66.700000,74.430000
0,Monday,19,52.000000,22.000000,2.000000,59.000000,13.395931,1.857681,179.450980,0.608906,0.727120,-0.132836,10.000000,20.000000,31.000000,45.900000,53.900000
0,Monday,20,52.000000,15.211538,0.000000,63.000000,12.345256,1.711979,152.405354,0.811572,1.497554,2.971636,6.000000,10.000000,24.250000,36.900000,50.250000
0,Monday,21,52.000000,9.980769,0.000000,29.000000,8.040316,1.114991,64.646682,0.805581,0.877674,-0.186414,4.000000,7.000000,15.000000,27.000000,28.490000
0,Monday,22,52.000000,6.173077,0.000000,23.000000,4.400183,0.610196,19.361614,0.712802,1.431854,3.191880,3.750000,5.000000,8.000000,13.350000,19.430000
0,Monday,23,52.000000,4.423077,0.000000,23.000000,4.011484,0.556293,16.092006,0.906944,2.233535,8.025221,2.000000,4.000000,6.000000,10.450000,17.900000
1,Tuesday,0,52.000000,2.442308,0.000000,10.000000,2.363227,0.327721,5.584842,0.967620,1.141119,0.944948,1.000000,2.000000,4.000000,7.000000,8.470000
1,Tuesday,1,52.000000,1.538462,0.000000,7.000000,1.914460,0.265488,3.665158,1.244399,1.377328,1.274085,0.000000,1.000000,2.000000,5.450000,7.000000
1,Tuesday,2,52.000000,0.519231,0.000000,5.000000,0.980004,0.135902,0.960407,1.887415,2.674108,8.571808,0.000000,0.000000,1.000000,2.450000,3.980000
1,Tuesday,3,52.000000,0.403846,0.000000,4.000000,0.869068,0.120518,0.755279,2.151978,2.637839,7.129830,0.000000,0.000000,0.250000,2.450000,3.490000
1,Tuesday,4,52.000000,1.153846,0.000000,3.000000,0.849097,0.117749,0.720965,0.735884,0.294480,-0.498440,1.000000,1.000000,2.000000,2.450000,3.000000
1,Tuesday,5,52.000000,2.653846,0.000000,9.000000,1.824502,0.253013,3.328808,0.687494,1.002097,1.875879,1.000000,2.000000,4.000000,5.450000,7.980000
1,Tuesday,6,52.000000,6.557692,2.000000,13.000000,2.379763,0.330014,5.663273,0.362896,0.261386,0.033340,5.000000,7.000000,8.000000,10.450000,11.980000
1,Tuesday,7,52.000000,21.326923,4.000000,37.000000,7.991960,1.108285,63.871418,0.374736,0.008884,-0.693858,15.000000,21.500000,28.000000,33.450000,36.490000
1,Tuesday,8,52.000000,43.576923,20.000000,69.000000,11.494835,1.594047,132.131222,0.263783,-0.098483,-0.670839,34.750000,43.500000,53.000000,58.450000,66.960000
1,Tuesday,9,52.000000,36.769231,18.000000,61.000000,10.372693,1.438434,107.592760,0.282103,0.357320,-0.462544,29.000000,35.000000,43.500000,54.350000,59.470000
1,Tuesday,10,52.000000,20.750000,5.000000,44.000000,7.891109,1.094300,62.269608,0.380294,0.610036,0.674547,15.000000,20.000000,25.500000,32.900000,41.960000
1,Tuesday,11,52.000000,19.519231,4.000000,41.000000,7.952039,1.102749,63.234917,0.407395,0.317785,-0.101865,15.000000,18.500000,24.250000,32.000000,37.940000
1,Tuesday,12,52.000000,20.153846,4.000000,52.000000,10.200701,1.414583,104.054299,0.506142,0.990544,1.482525,14.000000,18.500000,24.000000,37.900000,49.960000
1,Tuesday,13,52.000000,18.903846,2.000000,45.000000,10.524033,1.459421,110.755279,0.556714,0.565029,-0.496382,11.000000,17.500000,26.000000,36.450000,42.450000
1,Tuesday,14,52.000000,17.519231,4.000000,38.000000,9.716552,1.347443,94.411388,0.554622,0.557144,-0.729311,10.750000,15.000000,23.500000,35.000000,37.490000
1,Tuesday,15,52.000000,20.596154,4.000000,47.000000,10.748934,1.490609,115.539593,0.521890,0.238800,-0.615169,12.000000,22.000000,29.000000,37.900000,44.450000
1,Tuesday,16,52.000000,28.403846,12.000000,56.000000,10.868663,1.507212,118.127828,0.382648,0.710206,-0.140203,19.000000,27.000000,35.250000,49.900000,53.960000
1,Tuesday,17,52.000000,44.076923,18.000000,80.000000,15.828550,2.195025,250.542986,0.359112,0.277988,-0.655081,33.000000,42.000000,54.000000,71.250000,76.940000
1,Tuesday,18,52.000000,32.653846,5.000000,62.000000,14.600409,2.024712,213.171946,0.447127,-0.100598,-0.896473,20.750000,33.000000,44.250000,53.450000,59.960000
1,Tuesday,19,52.000000,21.423077,2.000000,55.000000,12.943840,1.794988,167.542986,0.604201,0.742162,0.033984,11.750000,18.500000,30.250000,43.350000,54.490000
1,Tuesday,20,52.000000,13.750000,0.000000,43.000000,9.863530,1.367825,97.289216,0.717348,1.043119,0.852510,5.750000,11.500000,19.250000,30.900000,41.470000
