day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Monday,0,52.000000,0.740064,0.000000,4.200000,1.002107,0.138967,1.004219,1.354081,1.745834,2.580376,0.025000,0.283333,0.983333,3.022500,3.724000
0,Monday,1,52.000000,0.444551,0.000000,4.250000,0.915883,0.127010,0.838842,2.060242,2.871952,8.300503,0.000000,0.066667,0.283333,2.450833,3.961000
0,Monday,2,52.000000,0.367949,0.000000,4.333333,0.722347,0.100171,0.521785,1.963172,3.691306,17.575786,0.000000,0.050000,0.500000,1.513333,3.032833
0,Monday,3,52.000000,0.390385,0.000000,5.333333,1.016612,0.140979,1.033501,2.604130,3.591655,13.952304,0.000000,0.000000,0.091667,1.909167,4.772333
0,Monday,4,52.000000,0.318590,0.000000,2.150000,0.426883,0.059198,0.182229,1.339915,2.343557,6.316301,0.033333,0.183333,0.333333,1.135833,1.767500
0,Monday,5,52.000000,0.503526,0.000000,1.433333,0.392916,0.054488,0.154383,0.780329,0.935852,0.028181,0.195833,0.400000,0.650000,1.355833,1.424833
0,Monday,6,52.000000,0.851603,0.000000,3.116667,0.643260,0.089204,0.413783,0.755352,1.982431,4.862603,0.491667,0.741667,1.083333,2.121667,3.082667
0,Monday,7,52.000000,3.326282,0.133333,7.666667,1.506234,0.208877,2.268740,0.452828,0.457754,0.400319,2.245833,3.283333,4.229167,5.598333,7.207667
0,Monday,8,52.000000,6.325000,1.566667,13.216667,2.468072,0.342260,6.091378,0.390209,0.214329,-0.218380,4.429167,6.191667,8.337500,9.864167,11.686667
0,Monday,9,52.000000,6.290705,1.666667,17.933333,3.263166,0.452520,10.648251,0.518728,1.098271,1.989817,4.237500,5.958333,7.908333,12.000833,15.485333
0,Monday,10,52.000000,5.539103,0.550000,21.450000,4.367064,0.605603,19.071251,0.788406,1.568400,2.841922,2.537500,4.441667,7.354167,13.397500,19.189000
0,Monday,11,52.000000,6.599038,0.450000,22.466667,5.022638,0.696515,25.226889,0.761117,1.100368,1.190040,2.745833,5.608333,9.575000,15.765833,20.868667
0,Monday,12,52.000000,7.795513,0.100000,27.433333,6.203511,0.860272,38.483552,0.795780,1.212208,1.404741,2.670833,6.483333,10.054167,21.016667,24.968333
0,Monday,13,52.000000,8.520192,0.466667,26.350000,6.836315,0.948026,46.735200,0.802366,0.847608,-0.004199,2.266667,7.000000,12.704167,22.469167,25.279000
0,Monday,14,52.000000,8.899359,0.333333,35.833333,8.674812,1.202980,75.252363,0.974768,1.460866,2.094038,2.650000,5.858333,13.995833,25.969167,35.425333
0,Monday,15,52.000000,9.509936,0.100000,40.200000,9.308244,1.290821,86.643402,0.978791,1.794467,3.232073,3.458333,6.416667,13.254167,29.975000,39.528500
0,Monday,16,52.000000,10.596474,1.266667,33.900000,8.098081,1.123002,65.578914,0.764224,1.082004,0.675208,3.933333,9.016667,15.000000,27.466667,32.098000
0,Monday,17,52.000000,12.262821,2.400000,34.900000,7.676935,1.064599,58.935334,0.626033,0.917085,0.425569,5.750000,12.216667,15.191667,25.496667,32.452000
0,Monday,18,52.000000,8.933333,1.066667,31.533333,7.044176,0.976851,49.620414,0.788527,1.369363,2.020971,3.466667,7.883333,11.341667,21.668333,30.759833
0,Monday,19,52.000000,6.468590,0.366667,27.566667,6.076444,0.842651,36.923177,0.939377,1.419594,2.031495,1.537500,4.758333,9.575000,18.660000,24.234667
0,Monday,20,52.000000,4.516667,0.000000,23.516667,5.142553,0.713144,26.445850,1.138573,1.879298,3.838464,0.904167,2.541667,6.562500,12.480833,22.088667
0,Monday,21,52.000000,2.513462,0.066667,10.516667,2.591107,0.359322,6.713835,1.030892,1.403017,1.297992,0.512500,1.633333,3.504167,7.972500,9.768667
0,Monday,22,52.000000,1.439744,0.000000,7.733333,1.609808,0.223240,2.591483,1.118122,2.488996,6.548575,0.537500,0.966667,1.675000,5.031667,7.274333
0,Monday,23,52.000000,1.014744,0.000000,4.866667,1.028201,0.142586,1.057197,1.013262,1.686022,3.256493,0.308333,0.725000,1.358333,3.119167,4.195167
1,Tuesday,0,52.000000,0.688782,0.000000,4.800000,1.178607,0.163443,1.389115,1.711147,2.357976,4.864608,0.058333,0.150000,0.654167,3.834167,4.579000
1,Tuesday,1,52.000000,0.580449,0.000000,5.233333,1.212183,0.168099,1.469387,2.088355,2.701669,6.618136,0.000000,0.075000,0.433333,3.850833,4.842333
1,Tuesday,2,52.000000,0.228526,0.000000,4.000000,0.712160,0.098759,0.507171,3.116323,4.183443,18.225955,0.000000,0.000000,0.087500,1.340000,3.337000
