usertype,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
Member,0,Monday,0,52.000000,0.117308,0.000000,0.633333,0.147379,0.020438,0.021721,1.256350,1.574965,2.952512,0.000000,0.083333,0.200000,0.340833,0.607833
Member,0,Monday,1,52.000000,0.067949,0.000000,1.000000,0.159446,0.022111,0.025423,2.346570,4.413523,23.421822,0.000000,0.000000,0.066667,0.287500,0.711000
Member,0,Monday,2,52.000000,0.051282,0.000000,1.000000,0.166792,0.023130,0.027820,3.252450,4.492202,22.068901,0.000000,0.000000,0.000000,0.318333,0.745000
Member,0,Monday,3,52.000000,0.031410,0.000000,1.000000,0.142559,0.019769,0.020323,4.538608,6.443027,43.892029,0.000000,0.000000,0.000000,0.124167,0.600500
Member,0,Monday,4,52.000000,0.178205,0.000000,1.400000,0.242952,0.033691,0.059025,1.363325,3.168517,13.031082,0.000000,0.141667,0.204167,0.526667,1.145000
Member,0,Monday,5,52.000000,0.376603,0.000000,1.416667,0.328084,0.045497,0.107639,0.871167,1.491046,2.435048,0.150000,0.283333,0.545833,1.045833,1.399667
Member,0,Monday,6,52.000000,0.692949,0.000000,2.466667,0.465631,0.064571,0.216812,0.671956,1.656342,4.230062,0.391667,0.616667,0.883333,1.415000,2.296667
Member,0,Monday,7,52.000000,2.910577,0.133333,5.350000,1.198565,0.166211,1.436558,0.411796,-0.087574,-0.269103,2.062500,3.000000,3.733333,4.927500,5.324500
Member,0,Monday,8,52.000000,5.359615,0.616667,9.450000,2.082303,0.288763,4.335984,0.388517,-0.327016,-0.445951,3.658333,5.525000,6.916667,8.471667,9.033500
Member,0,Monday,9,52.000000,4.244551,0.400000,9.416667,1.668214,0.231340,2.782938,0.393025,0.258865,0.756644,3.029167,4.441667,5.133333,6.524167,8.362667
Member,0,Monday,10,52.000000,2.094551,0.550000,4.300000,0.837062,0.116080,0.700672,0.399638,0.285895,-0.607016,1.341667,2.158333,2.750000,3.287500,3.900500
Member,0,Monday,11,52.000000,1.975000,0.416667,4.766667,1.012329,0.140385,1.024809,0.512571,0.722947,0.189348,1.337500,1.825000,2.529167,3.848333,4.494667
Member,0,Monday,12,52.000000,1.932051,0.100000,5.600000,1.098195,0.152292,1.206033,0.568409,0.777095,0.940310,1.012500,1.758333,2.737500,3.559167,4.716000
Member,0,Monday,13,52.000000,1.876603,0.266667,5.150000,1.064209,0.147579,1.132541,0.567093,0.630242,0.361941,0.991667,1.758333,2.516667,3.565000,4.555000
Member,0,Monday,14,52.000000,1.444551,0.300000,2.900000,0.779788,0.108137,0.608069,0.539813,0.245528,-1.182402,0.750000,1.433333,2.187500,2.740833,2.857500
Member,0,Monday,15,52.000000,1.796795,0.100000,3.650000,0.790073,0.109563,0.624216,0.439713,0.316595,0.015254,1.300000,1.708333,2.300000,3.319167,3.607500
